Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120049,177.27,2.23,8.08,1.86,-11.83,1.24,-0.1335,0.037,0.94,32.02827767,118.8562206,28.43,-0.001,0.897,0.107,0.897,22,18,41,1,2*4F,
$GPCHC,2125,120049.2,177.42,6.66,16.16,0.17,-15.39,-1.95,-0.3124,0.1311,1.0781,32.02827929,118.8562206,28.41,0.034,0.898,-0.022,0.899,22,18,41,1,2*55,
$GPCHC,2125,120049.4,177.42,5.36,18,2.96,-4.66,-1.73,-0.4253,0.1292,1.3089,32.02828092,118.8562206,28.42,0.038,0.877,0.126,0.878,22,18,41,1,2*4A,
$GPCHC,2125,120049.8,177.77,5.62,13.77,-0.65,-3.55,0.5,-0.2127,0.088,0.8683,32.02828412,118.8562205,28.39,-0.008,0.9,-0.188,0.9,22,19,41,1,2*41,
$GPCHC,2125,120050,177.76,9.28,5.36,1.92,-2.08,0.86,-0.0523,0.0916,0.558,32.0282857,118.8562205,28.4,-0.01,0.868,0.053,0.868,22,19,41,1,2*7D,
$GPCHC,2125,120050.4,176.38,1.61,7.87,2.78,-9.78,2.47,-0.1283,0.0263,0.9286,32.02828877,118.8562203,28.39,-0.018,0.795,0.036,0.795,21,17,41,1,2*76,
$GPCHC,2125,120050.8,175.86,-0.02,10.92,-0.01,0.62,2.36,-0.2006,-0.0004,1.0398,32.02829188,118.8562201,28.38,-0.083,0.848,0.042,0.852,21,17,41,1,2*4F,
$GPCHC,2125,120051,174.4,4.16,12.8,0.82,7.62,3.07,-0.2341,0.0768,1.0306,32.02829347,118.8562199,28.37,-0.105,0.901,-0.003,0.907,21,17,41,1,2*45,
$GPCHC,2125,120051.4,173.92,-0.11,7.2,1.07,13.95,-0.75,-0.1185,-0.0018,0.9383,32.02829658,118.8562195,28.36,-0.091,0.877,-0.067,0.882,21,17,41,1,2*67,
$GPCHC,2125,120051.6,172.59,1.41,-1.49,7.77,-2.21,0.43,0.0193,0.0183,0.7406,32.02829814,118.8562193,28.36,-0.125,0.857,-0.051,0.866,21,18,41,0,2*59,
$GPCHC,2125,120051.8,172.59,12.32,-2.24,-2.9,11.03,-5.45,0.0191,0.107,0.4893,32.02829976,118.8562191,28.34,-0.082,0.95,-0.244,0.953,20,18,41,1,2*7B,
$GPCHC,2125,120052,172.63,-3.26,-12,3.35,8.34,-4.11,0.2006,-0.055,0.9442,32.02830136,118.8562189,28.34,-0.07,0.918,0.019,0.921,20,17,41,1,2*47,
$GPCHC,2125,120052.2,173.74,6.1,-42.8,-14.82,12.37,2.74,0.7645,0.1202,0.8255,32.02830285,118.8562188,28.34,0.012,0.824,0.07,0.824,20,17,41,1,2*6A,
$GPCHC,2125,120052.6,174.1,5.92,-6.44,-2.78,-24.39,-3.38,0.0664,0.0614,0.5882,32.02830597,118.8562186,28.35,-0.044,0.87,-0.056,0.872,20,16,41,0,2*69,
